# Time-averaged data for fix ave_oxygen_6_7_distance
# TimeStep v_oxygen_6_7_distance
40000 49.4128
40100 49.4499
40200 49.5598
40300 49.5424
40400 49.4837
40500 49.44
40600 49.3102
40700 49.5786
40800 49.847
40900 50.0386
41000 50.1548
41100 50.0884
41200 50.052
41300 49.995
41400 50.025
41500 50.1648
41600 50.258
41700 50.4929
41800 50.2843
41900 50.129
42000 50.1117
42100 49.8778
42200 49.8245
42300 49.9688
42400 50.1009
42500 50.2116
42600 50.5121
42700 50.435
42800 50.262
42900 50.147
43000 50.1884
43100 50.1142
43200 50.2234
43300 50.0744
43400 50.0128
43500 49.9869
43600 49.9909
43700 50.2894
43800 50.4517
43900 50.6383
44000 50.7578
44100 50.7309
44200 50.1504
44300 50.1769
44400 50.1842
44500 50.1823
44600 50.0221
44700 50.0347
44800 49.6854
44900 49.5809
45000 49.5909
45100 49.7288
45200 49.7286
45300 49.996
45400 50.1134
45500 50.2786
45600 50.5609
45700 50.6615
45800 50.5299
45900 50.5072
46000 50.5521
46100 50.4352
46200 50.508
46300 50.5174
46400 50.3301
46500 50.4026
46600 50.532
46700 50.9343
46800 51.1825
46900 51.1059
47000 51.1582
47100 50.9948
47200 50.7507
47300 50.6268
47400 50.649
47500 50.5852
47600 50.836
47700 51.0641
47800 50.9723
47900 50.6477
48000 50.3626
48100 50.2708
48200 50.4051
48300 50.788
48400 50.855
48500 50.5081
48600 50.5153
48700 50.4129
48800 50.5065
48900 50.8393
49000 50.8851
49100 50.8866
49200 50.5084
49300 50.2831
49400 50.3706
49500 50.3147
49600 50.3496
49700 50.3522
49800 50.2812
49900 50.0981
50000 50.4608
50100 50.4333
50200 50.5132
50300 50.6635
50400 50.7045
50500 50.8792
50600 51.2419
50700 51.0178
50800 51.0786
50900 51.1131
51000 50.9697
51100 50.7315
51200 50.6838
51300 50.5016
51400 50.5899
51500 51.015
51600 51.3216
51700 51.0443
51800 50.9763
51900 50.8241
52000 50.6834
52100 50.9294
52200 51.4177
52300 51.399
52400 51.2897
52500 51.0684
52600 50.6034
52700 50.3693
52800 50.4476
52900 50.5326
53000 50.6704
53100 50.8637
53200 51.1159
53300 51.1091
53400 50.9381
53500 50.8265
53600 50.7664
53700 50.5582
53800 50.5413
53900 50.5783
54000 50.6367
54100 51.0502
54200 51.4249
54300 51.2621
54400 51.1399
54500 50.8885
54600 50.435
54700 50.3765
54800 50.4525
54900 50.479
55000 50.9088
55100 50.8539
55200 50.5888
55300 50.4737
55400 50.2934
55500 50.6548
55600 50.8681
55700 50.7752
55800 50.7424
55900 50.4644
56000 50.6351
56100 50.5913
56200 50.8574
56300 51.236
56400 51.5943
56500 51.5657
56600 51.2913
56700 50.8269
56800 50.3641
56900 50.3744
57000 50.5023
57100 50.7331
57200 50.8144
57300 50.8661
57400 50.8733
57500 50.8278
57600 50.7617
57700 50.6672
57800 50.5371
57900 50.5435
58000 50.4938
58100 50.7483
58200 50.8576
58300 50.8878
58400 50.8313
58500 50.7139
58600 50.471
58700 50.3413
58800 50.4685
58900 50.2473
59000 50.3752
59100 50.3855
59200 49.9635
59300 50.2551
59400 50.4803
59500 50.4997
59600 50.3797
59700 50.3155
59800 50.3878
59900 50.1712
60000 50.1496
