# Time-averaged data for fix ave_time_2
# TimeStep f_carbon_top_force[1] f_carbon_bottom_force[1]
30200 0.944768 0.0675377
30300 -0.399411 -0.112456
30400 -2.00133 -0.573241
30500 1.50418 0.19859
30600 1.12123 1.38453
30700 -0.163271 1.16745
30800 -1.12512 -0.249706
30900 -0.139413 0.111992
31000 -0.490568 -0.221972
31100 -0.00437753 -1.93271
31200 -1.88059 1.5462
31300 -1.77204 0.955435
31400 0.657024 0.483488
31500 0.912204 -1.01979
31600 0.116506 -0.726803
31700 1.19535 0.0270509
31800 -0.899905 0.80586
31900 -0.397241 -1.04594
32000 -0.482285 -0.194765
32100 0.485969 -1.23459
32200 -1.21241 0.108355
32300 0.0747631 0.0457536
32400 0.258979 -0.699312
32500 0.095226 1.10645
32600 -0.599902 2.16612
32700 0.815973 2.25587
32800 -1.60371 -0.243682
32900 0.530069 -0.0782862
33000 0.14173 -0.335773
33100 0.488615 -1.27239
33200 -1.06722 -0.64611
33300 1.17267 0.637997
33400 0.457701 0.876739
33500 0.495185 -0.420594
33600 0.86262 0.696555
33700 -0.595937 1.30624
33800 -0.361394 -0.145718
33900 1.10546 -0.0979718
34000 -0.826937 -0.34747
34100 -2.69165 -0.231612
34200 -0.961657 0.719966
34300 0.0243072 -0.576477
34400 0.693169 -0.32382
34500 0.822342 0.746732
34600 0.626651 1.17053
34700 -0.244996 -1.19699
34800 -0.60487 1.42029
34900 -0.5363 -1.17348
35000 -0.568811 -1.34677
35100 -0.511542 0.0363119
35200 0.486554 -1.22809
35300 -1.78078 -0.446015
35400 1.65762 0.533141
35500 0.235719 1.46907
35600 -0.947271 1.53949
35700 1.0229 1.53447
35800 -0.466348 -0.197868
35900 -1.57529 -1.74579
36000 -0.645196 -1.40328
36100 -0.0269595 1.88543
36200 0.807925 -0.367484
36300 0.60381 0.40539
36400 -1.3441 0.0535155
36500 1.47271 -0.0706616
36600 2.23908 1.18622
36700 1.04561 0.531695
36800 -0.619637 0.77605
36900 -1.55033 -1.02534
37000 -1.90841 -0.558624
37100 -1.04955 -0.932043
37200 0.960142 1.12282
37300 0.347159 1.36602
37400 1.43123 -0.0421513
37500 -1.03693 0.274984
37600 -0.38861 0.185671
37700 -1.01307 0.398304
37800 1.6056 1.79362
37900 -0.704997 -1.66514
38000 -0.947941 -2.54753
38100 -2.14677 -1.65231
38200 0.621739 0.432457
38300 1.50976 0.224072
38400 0.986007 2.01969
38500 0.357998 0.509953
38600 -2.07162 0.454064
38700 -0.399263 -0.0581687
38800 -0.299538 -0.301244
38900 0.136977 -1.25412
39000 -1.00038 0.837773
39100 -0.959187 0.681281
39200 -0.970749 -0.210097
39300 0.0261562 0.524504
39400 2.66667 0.866211
39500 1.83756 0.0931224
39600 1.82151 0.790852
39700 -1.26832 -0.0384774
39800 -2.04924 -1.36063
39900 -0.0613167 0.603795
40000 0.168247 -0.932208
40100 -1.75917 0.384772
40200 0.61455 0.287317
40300 1.62726 1.1398
40400 -0.693156 0.2221
40500 0.0731097 1.77153
40600 0.0554929 0.839946
40700 0.200591 1.22241
40800 -1.28166 -2.11568
40900 -2.02397 -1.42062
41000 -0.0255662 -2.08389
41100 0.450874 -0.247365
41200 -0.0789363 0.614156
41300 1.00305 1.56811
41400 0.567193 0.341311
41500 0.647339 0.973885
41600 -0.850343 -1.68998
41700 -0.740705 -1.01678
41800 -0.185825 1.34289
41900 -1.60609 -0.0435937
42000 -2.91056 -0.483562
42100 -0.645819 -0.183951
42200 1.47566 -0.145488
42300 1.9571 1.72747
42400 0.845534 1.16769
42500 1.10144 1.34839
42600 -0.506486 -0.728186
42700 -1.01037 -0.131069
42800 -0.367367 -1.26313
42900 0.182771 0.0923142
43000 0.76397 -1.9587
43100 -0.806033 0.223105
43200 -0.0303757 1.89739
43300 0.493073 1.40179
43400 1.887 1.65576
43500 0.256935 1.30782
43600 -1.78883 -0.436108
43700 -0.655026 -0.578373
43800 -1.57699 -0.711113
43900 -1.25332 -1.68174
44000 -0.283472 0.740484
44100 1.16124 0.628805
44200 0.541263 0.594569
44300 0.0937 -1.61143
44400 1.30856 -0.667773
44500 1.13351 1.59799
44600 -0.175766 0.107177
44700 -2.45152 -0.6829
44800 -1.33108 -2.02851
44900 -2.60359 0.014871
45000 0.110824 1.40523
45100 1.08259 0.110659
45200 -0.0590228 0.243434
45300 1.09503 1.85903
45400 0.84411 0.879014
45500 -1.40614 0.549054
45600 -0.259214 -0.559781
45700 0.574514 -0.708341
45800 -0.624388 -2.40093
45900 -0.495201 -0.0328125
46000 0.9124 0.783873
46100 0.908602 0.0430817
46200 0.200399 1.9449
46300 -0.312648 1.19602
46400 1.12729 1.50604
46500 0.913791 0.219204
46600 -0.905506 -1.06854
46700 -0.898018 -1.11892
46800 -2.18222 0.733403
46900 -1.39566 0.123916
47000 0.0970511 0.350431
47100 0.668705 0.478025
47200 2.12706 1.0932
47300 1.36582 -0.0593664
47400 -0.724015 -1.27557
47500 -0.190067 -1.0949
47600 -0.660339 1.23705
47700 -1.61055 -0.666515
47800 -1.8927 -1.49431
47900 -0.0173682 -1.15762
48000 0.0891058 0.743051
48100 -0.656388 1.0586
48200 1.80199 0.887434
48300 0.207407 1.62881
48400 -1.03358 0.977619
48500 -1.9692 -0.217643
48600 0.641021 -2.09889
48700 0.0734448 -1.20577
48800 0.552832 -0.00487304
48900 -1.02014 -0.0817499
49000 -0.0125006 0.231719
49100 2.00888 2.25488
49200 -0.0314746 0.744146
49300 0.0901011 0.021868
49400 1.97043 0.27776
49500 0.842894 1.07856
49600 -2.04632 -0.115138
49700 -3.24349 -2.17836
49800 -0.487293 1.46353
49900 -0.220101 0.95293
50000 1.9433 1.55204
50100 0.987434 -0.549457
50200 -0.171687 -0.529172
50300 0.705644 0.551762
50400 0.364841 0.566288
50500 -1.35813 -0.378151
50600 0.484686 -0.888119
50700 -1.21322 -0.645681
50800 -1.62946 -2.52363
50900 -0.331019 -0.858688
51000 0.42302 1.17115
51100 0.458615 2.75101
51200 -0.587805 1.16975
51300 0.391386 0.743423
51400 -0.74359 -0.931874
51500 -1.76711 -1.55284
51600 0.347994 -0.862246
51700 -0.997987 0.972217
51800 -0.732268 -0.470732
51900 1.00946 -1.02866
52000 -0.540273 0.923479
52100 1.35713 1.21954
52200 2.00228 0.402354
52300 1.49995 0.499108
52400 -0.542996 0.796377
52500 -1.46529 -1.16715
52600 -1.61813 0.258541
52700 -1.06567 0.196909
52800 0.877533 -0.120557
52900 0.508193 1.43068
53000 1.06167 0.695047
53100 -0.294996 1.03189
53200 -0.811324 0.799607
53300 1.43258 0.937667
53400 -0.0561927 -0.893696
53500 -1.16423 -0.0963514
53600 -0.294206 -1.29865
53700 0.377363 -3.50079
53800 -1.19054 1.2331
53900 -0.159446 0.4732
54000 0.156447 0.879943
54100 0.981168 2.09927
54200 -0.762582 -1.06932
54300 0.80586 0.500652
54400 -2.11548 -0.817267
54500 -1.15693 -0.797438
54600 -1.14983 0.201806
54700 -0.751673 0.811134
54800 -1.10271 -0.938048
54900 0.966461 -0.160908
55000 1.47017 1.23074
55100 1.78066 -1.21526
55200 -0.0053144 1.05886
55300 0.310584 0.802579
55400 -0.515527 -0.716709
55500 -1.23746 -0.795185
55600 -0.981523 -0.162952
55700 0.0696336 0.418911
55800 0.499594 0.704658
55900 0.327184 1.0828
56000 0.373568 0.439971
56100 0.192437 2.39211
56200 0.247962 2.38835
56300 -1.31919 -0.790389
56400 0.948735 -2.42362
56500 -0.0195095 -0.181418
56600 -0.105421 -1.40612
56700 -0.913658 -0.382578
56800 -0.344209 1.81546
56900 0.963575 -0.439318
57000 -0.0556698 0.394025
57100 0.834985 1.55792
57200 1.11374 -0.706947
57300 -0.687716 0.0264796
57400 -1.54383 -0.747234
57500 -2.67427 -0.805654
57600 -1.37275 0.797609
57700 -0.787284 -0.0313603
57800 0.466069 -0.314923
57900 -0.0301452 0.0896693
58000 1.63624 0.519123
58100 1.16853 -0.517375
58200 -0.0600411 0.902328
58300 -0.996564 0.324003
58400 -1.12203 -0.277308
58500 -0.696212 -1.29217
58600 1.03939 -0.842834
58700 0.175313 -0.890797
58800 0.289093 1.17027
58900 -0.0170316 2.39795
59000 0.156313 0.887298
59100 -0.643576 0.887896
59200 -0.127766 1.69315
59300 1.76587 1.53321
59400 -1.16898 -1.99294
59500 0.346945 -2.45415
59600 -1.75629 -0.235171
59700 -1.4365 0.6551
59800 1.4134 1.71018
59900 2.23264 0.923724
60000 0.841608 -0.805011
60100 0.18217 0.219499
60200 -0.774713 0.0932499
60300 -0.422744 -0.351783
60400 -1.80048 -0.757136
60500 -0.794464 -0.0707427
60600 -1.42201 1.60561
60700 -1.66691 -1.10101
60800 0.664272 -1.11545
60900 2.16378 0.816676
61000 0.257663 0.906915
61100 -0.622836 1.37101
61200 -1.26271 -0.519013
61300 0.256446 -0.846144
61400 -0.317731 -0.687257
61500 -0.0511787 -1.56774
61600 -1.07278 -0.210287
61700 2.05713 0.671601
61800 -1.30965 0.058528
61900 -0.912338 0.746342
62000 1.29861 3.01371
62100 0.686967 0.280051
62200 -0.152016 -0.828297
62300 0.1056 0.728322
62400 -1.46063 0.785155
62500 -0.6766 -1.57546
62600 -1.61137 0.796067
62700 -0.0136114 0.369561
62800 3.10836 1.82913
62900 0.536485 -0.264696
63000 1.13899 -1.01353
63100 0.0263071 -0.375727
63200 -0.750813 1.2373
63300 0.376944 -0.228136
63400 -2.14158 -0.0937549
63500 -0.257778 0.145296
63600 -0.37534 -0.313941
63700 -0.818207 -0.610564
63800 -0.907803 -0.855849
63900 0.989206 1.36428
64000 0.181332 2.724
64100 0.436117 1.21654
64200 -1.27288 -1.14492
64300 -1.53762 -2.07427
64400 -0.387786 -2.01653
64500 0.855715 -0.606483
64600 0.208358 1.40938
64700 -0.816897 0.527385
64800 -0.655359 -0.854126
64900 1.02196 0.406615
65000 0.489018 1.39823
65100 0.255973 0.430535
65200 0.717155 0.261728
65300 -1.1417 0.733893
65400 -2.46814 -0.306999
65500 -1.37452 -0.49778
65600 0.751255 0.0652445
65700 1.19744 0.219807
65800 0.554928 0.533363
65900 1.1761 2.01343
66000 0.321082 0.477825
66100 0.062332 0.38575
66200 -0.138014 0.2937
66300 -0.300532 -0.444115
66400 1.01075 -0.687882
66500 -1.50852 -2.15432
66600 -0.942944 -0.689975
66700 -0.236867 1.62355
66800 -0.369339 2.47504
66900 1.04358 1.11728
67000 0.765762 0.644611
67100 -0.105181 -1.02252
67200 -1.5551 -0.639595
67300 -0.924212 -0.555645
67400 -1.81947 -0.588258
67500 -0.241569 -1.21405
67600 -0.26326 1.50645
67700 -0.0886501 -0.0761616
67800 0.635018 -1.52125
67900 1.33727 0.153775
68000 1.26147 1.35015
68100 -1.26786 0.194797
68200 -1.29904 1.18257
68300 -0.0845946 0.495045
68400 -0.560232 -1.0761
68500 -2.38543 -2.631
68600 0.37009 0.535526
68700 1.40763 1.19414
68800 -0.52329 1.67953
68900 1.17408 2.68673
69000 0.881148 0.688111
69100 -0.0549227 -0.763004
69200 0.310488 -0.873865
69300 -0.270551 -0.748099
69400 -0.425347 0.0412403
69500 -0.239045 -0.259226
69600 -0.628974 0.791587
69700 -0.947775 0.00841616
69800 0.203677 1.13015
69900 2.16467 1.53317
70000 1.39825 -0.637831
70100 -1.10252 0.376603
70200 -2.6316 0.483191
70300 -0.791868 -0.428333
70400 -0.379569 -1.7042
70500 -1.30133 -0.450408
70600 0.495939 -0.287934
70700 0.404688 0.637357
70800 0.763732 -1.29051
70900 -0.904754 0.286324
71000 0.99032 1.52218
71100 -0.0628206 3.15439
71200 -2.31387 -1.60403
71300 -0.523027 -1.37047
71400 0.403355 -1.98691
71500 -1.41957 0.156654
71600 -0.64223 2.09081
71700 1.14291 0.472322
71800 0.709129 0.018196
71900 0.668496 0.821985
72000 0.290741 2.051
72100 0.213702 -0.410816
72200 0.261973 -0.872388
72300 0.631644 0.142598
72400 -0.826713 -0.272066
72500 -1.49997 -0.797531
72600 -1.35013 1.19326
72700 1.03794 1.24835
72800 1.38834 -0.230369
72900 1.72038 0.797402
73000 0.242191 0.677096
73100 -1.38574 0.431348
73200 -1.52819 0.287334
73300 -2.1498 -0.0589338
73400 0.197736 -0.555482
73500 0.0909174 -1.06826
73600 -1.39545 -0.896891
73700 1.30063 -0.7505
73800 0.97014 0.732179
73900 0.245459 1.04675
74000 0.681981 0.460231
74100 -2.02723 0.888756
74200 -1.44925 0.628272
74300 -0.510174 -1.58306
74400 0.880051 -1.48792
74500 0.108378 -0.519026
74600 -0.832662 0.249397
74700 -1.91442 1.12847
74800 -0.300331 1.36665
74900 0.907589 1.43371
75000 1.54512 0.55271
75100 0.363945 0.498975
75200 1.25757 -0.489141
75300 -0.20354 -0.882508
75400 -1.29004 -1.70026
75500 -1.62065 0.328517
75600 -0.669743 1.28415
75700 0.994075 2.26733
75800 0.993713 0.38133
75900 1.55481 -0.879813
76000 0.647887 -0.0600752
76100 -1.11358 -0.185167
76200 -0.231029 3.68311
76300 -2.38708 0.323501
76400 -0.712406 -2.51133
76500 -0.818367 -0.774674
76600 0.931578 -0.479461
76700 -0.840461 -0.213935
76800 0.402115 0.448373
76900 1.00568 -0.0306579
77000 0.40658 1.67188
77100 -2.70589 -0.0184485
77200 0.317964 0.177126
77300 0.863099 -1.63328
77400 0.36604 -1.35538
77500 -2.2095 -0.658375
77600 -2.11155 1.16131
77700 -0.984143 1.40172
77800 1.43713 1.99804
77900 0.831183 0.5528
78000 0.191493 -0.113103
78100 0.573222 0.775821
78200 0.965245 -1.33404
78300 -0.458358 -1.10764
78400 -1.31965 0.046899
78500 -0.00215177 1.19616
78600 -0.225935 1.29294
78700 1.25531 -0.168372
78800 0.0155355 -1.20245
78900 1.09946 0.196464
79000 0.330188 2.49169
79100 -0.0873128 1.0106
79200 -2.40932 0.00515104
79300 -1.24664 0.304199
79400 -0.509764 -0.467415
79500 -0.874712 -1.1227
79600 -0.57342 -1.52053
79700 0.153049 1.21205
79800 2.0025 0.946325
79900 0.117319 0.661045
80000 -1.45853 2.36911
80100 0.747305 -2.27501
80200 -0.196947 -1.61714
80300 0.712645 -1.77798
80400 -0.0744643 0.372518
80500 -2.85637 0.583051
80600 -0.63836 1.98584
80700 -0.195184 -1.03434
80800 0.0280382 0.62826
80900 0.322335 0.358723
81000 0.396947 2.48151
81100 -0.431728 -0.34613
81200 -0.645364 0.257212
81300 -0.31088 -0.425934
81400 -0.955431 0.680142
81500 0.727566 -0.927616
81600 1.14935 -0.198885
81700 0.58271 -1.6231
81800 0.864337 1.54896
81900 -0.507048 0.818977
82000 0.363792 0.104749
82100 -0.207439 1.89483
82200 0.286257 1.62912
82300 -0.908427 -0.932592
82400 -1.58346 -1.87465
82500 -0.259181 0.0669661
82600 -1.29178 1.81001
82700 0.475183 -0.0150249
82800 0.731553 0.855509
82900 -0.422658 1.73506
83000 -0.911127 -0.713842
83100 0.619804 -2.04253
83200 0.900057 -1.48257
83300 -0.520719 -0.147009
83400 -0.279287 0.242549
83500 -1.3213 -0.157549
83600 -2.07017 0.474217
83700 -0.0454656 -0.0990095
83800 1.04512 -0.100022
83900 0.0424475 0.723557
84000 -0.34581 1.45562
84100 0.028653 1.57753
84200 -0.58592 0.0426839
84300 -2.0607 -1.04133
84400 -0.464077 -0.0667424
84500 0.922258 0.688491
84600 1.39216 0.0837241
84700 1.93529 -0.202035
84800 -1.02545 -0.985513
84900 -0.345757 1.11008
85000 1.29163 0.533491
85100 -0.537273 0.588635
85200 -0.211722 1.49922
85300 -0.792078 0.174271
85400 0.245097 -2.31574
85500 -0.332798 1.43316
85600 -2.24135 1.17926
85700 -1.62371 -0.366345
85800 1.05847 1.35185
85900 1.35327 0.611685
86000 -0.605384 -0.749226
86100 0.1589 -0.493216
86200 0.965647 -1.65341
86300 -0.223514 -0.257405
86400 -1.09129 0.636612
86500 -1.22657 0.130538
86600 0.226594 -0.12508
86700 -0.162111 0.104221
86800 -0.770059 0.626388
86900 0.799876 -1.61139
87000 0.0948114 1.62256
87100 -1.29705 2.85492
87200 -0.298222 -0.536488
87300 -0.566161 -0.24765
87400 -2.37154 -1.06263
87500 0.844228 -1.40386
87600 2.19731 0.363842
87700 -0.390488 0.567115
87800 -0.0735425 1.32739
87900 1.19839 1.17411
88000 0.596489 0.326625
88100 -1.66824 -0.237907
88200 -0.635754 0.14467
88300 0.878419 0.432592
88400 -0.703303 -1.28801
88500 -0.0664357 1.03663
88600 -0.80941 1.00538
88700 -0.334463 -0.196795
88800 0.115009 2.29183
88900 1.96214 -0.955947
89000 0.0151064 -0.127439
89100 -0.179371 0.602735
89200 -0.736285 -0.293694
89300 -0.615796 -1.40651
89400 -0.871757 -0.694987
89500 -1.04011 -0.0348493
89600 -0.203948 0.640875
89700 -0.780271 1.00854
89800 0.660982 -0.603831
89900 -0.333531 1.1335
90000 0.34276 0.718022
90100 -0.263335 -0.67344
90200 -1.75454 0.269408
90300 -0.956005 -0.868523
90400 -0.217684 -1.09232
90500 -0.833802 -0.30898
90600 0.374904 1.05959
90700 1.48018 0.512451
90800 0.883174 0.886112
90900 1.37161 0.98561
91000 -0.79112 -0.859005
91100 -0.543512 0.841522
91200 -0.510282 1.59021
91300 -1.38435 -1.2028
91400 -0.287987 -0.848983
91500 0.464958 1.23826
91600 -1.40373 -0.312267
91700 0.39752 1.53671
91800 1.65416 1.75708
91900 1.64742 -0.691058
92000 -0.260469 0.576989
92100 -0.247025 0.193606
92200 -0.517044 0.633233
92300 -1.41885 -2.07321
92400 -0.301011 -0.579559
92500 -0.904201 -0.229903
92600 -0.209467 1.48844
92700 -1.01885 -1.3146
92800 0.353508 0.827257
92900 1.31447 0.881527
93000 -0.350594 0.746309
93100 -0.426601 0.123694
93200 -2.49563 -0.473525
93300 -0.211711 -0.923298
93400 0.353581 -0.602687
93500 -2.02886 -0.841932
93600 0.122625 -0.375809
93700 -0.314344 0.365116
93800 1.41191 0.595144
93900 -0.375075 1.17741
94000 -0.202552 1.95266
94100 2.06615 0.69241
94200 -0.646932 -1.21734
94300 -0.147845 0.258115
94400 -1.50811 -0.471942
94500 0.638949 1.12271
94600 0.377293 0.502591
94700 -0.499631 -0.229914
94800 0.185723 1.08714
94900 0.0227694 0.486364
95000 0.927693 1.37045
95100 0.187629 -0.313821
95200 0.547725 1.40099
95300 0.67814 0.561187
95400 -2.11722 -0.000982255
95500 -1.9777 -1.46814
95600 -0.239827 -0.949361
95700 1.17133 0.12689
95800 -0.937662 0.0128835
95900 -0.760594 0.110498
96000 1.60274 0.305885
96100 0.514007 0.61106
96200 -1.24521 0.164365
96300 -1.54805 -0.456253
96400 -0.606795 0.0184937
96500 -0.18692 -1.3752
96600 -1.93984 -0.112591
96700 -1.50584 -0.598756
96800 0.258525 -0.202885
96900 0.999748 1.41091
97000 1.06374 -0.0083087
97100 1.06472 0.552744
97200 -1.55502 0.389984
97300 -0.125034 1.46712
97400 0.425403 0.52615
97500 -0.344572 -1.83908
97600 -0.0470712 0.800825
97700 0.108672 -0.000372078
97800 -0.738311 0.720981
97900 -0.17123 0.147045
