# Time-averaged data for fix ave_time_1
# TimeStep v_stress
294000 2.08728e+10
295000 2.0909e+10
296000 2.09673e+10
297000 2.09926e+10
298000 2.10065e+10
299000 2.11464e+10
300000 2.11699e+10
301000 2.12806e+10
302000 2.13081e+10
303000 2.1318e+10
304000 2.13712e+10
305000 2.1369e+10
306000 2.14874e+10
307000 2.14621e+10
308000 2.15652e+10
309000 2.15821e+10
310000 2.16055e+10
311000 2.1702e+10
312000 2.17418e+10
313000 2.18114e+10
314000 2.1854e+10
315000 2.18868e+10
316000 2.196e+10
317000 2.20575e+10
318000 2.20361e+10
319000 2.20948e+10
320000 2.21304e+10
321000 2.22016e+10
322000 2.2249e+10
323000 2.22091e+10
324000 2.22943e+10
325000 2.22692e+10
326000 2.24555e+10
327000 2.24381e+10
328000 2.2428e+10
329000 2.24385e+10
330000 2.24131e+10
331000 2.25171e+10
332000 2.24703e+10
333000 2.25482e+10
334000 2.25323e+10
335000 2.2576e+10
336000 2.25394e+10
337000 2.25714e+10
338000 2.25733e+10
339000 2.26276e+10
340000 2.26688e+10
341000 2.2605e+10
342000 2.26037e+10
343000 2.25524e+10
344000 2.26334e+10
345000 2.26993e+10
346000 2.26836e+10
347000 2.26766e+10
348000 2.27418e+10
349000 2.28306e+10
350000 2.27289e+10
351000 2.27694e+10
352000 2.27302e+10
353000 2.2763e+10
354000 2.27741e+10
355000 2.28178e+10
356000 2.28046e+10
357000 2.27547e+10
358000 2.27914e+10
359000 2.27925e+10
360000 2.2558e+10
361000 2.24289e+10
362000 2.217e+10
363000 2.19959e+10
364000 2.18357e+10
365000 2.19804e+10
366000 2.19181e+10
367000 2.19149e+10
368000 2.18425e+10
369000 2.15914e+10
370000 2.30949e+09
371000 -7.35258e+08
372000 2.35925e+07
