# Time-averaged data for fix ave_oxygen_6_7_distance
# TimeStep v_oxygen_6_7_distance
40300 45.6856
40400 45.4878
40500 45.6373
40600 46.1508
40700 46.015
40800 45.7365
40900 45.9063
41000 45.9221
41100 45.8953
41200 46.3053
41300 46.5167
41400 46.5262
41500 46.3921
41600 46.3324
41700 46.5978
41800 46.4995
41900 46.8505
42000 46.9134
42100 46.787
42200 46.8448
42300 46.6263
42400 46.8142
42500 47.0137
42600 47.2998
42700 47.3432
42800 47.0409
42900 46.4107
43000 46.0061
43100 46.2297
43200 46.2987
43300 46.7076
43400 46.5351
43500 46.8653
43600 47.0025
43700 47.0931
43800 47.4438
43900 47.7311
44000 47.6631
44100 47.4939
44200 47.499
44300 47.3313
44400 47.5616
44500 47.1998
44600 47.0965
44700 47.1783
44800 47.4337
44900 47.4118
45000 47.6
45100 47.7734
45200 48.3106
45300 48.573
45400 48.465
45500 48.4308
45600 48.4945
45700 48.4052
45800 48.2598
45900 48.4661
46000 48.3006
46100 48.4205
46200 48.5426
46300 48.9189
46400 49.356
46500 49.4387
46600 49.523
46700 49.0901
46800 48.5485
46900 48.3455
47000 48.7136
47100 48.6357
47200 48.6145
47300 48.7547
47400 48.8763
47500 48.6691
47600 48.3295
47700 48.6904
47800 48.6169
47900 48.583
48000 48.7589
48100 49.329
48200 49.5955
48300 49.9434
48400 50.1068
48500 50.1383
48600 50.1906
48700 50.2974
48800 50.5665
48900 50.5058
49000 50.7297
49100 50.446
49200 50.5973
49300 50.7508
49400 50.3214
49500 50.5014
49600 50.4382
49700 49.7307
49800 49.3099
49900 48.996
50000 49.2529
50100 49.2016
50200 48.8485
50300 49.0617
50400 49.6059
50500 50.1209
50600 50.2241
50700 50.0883
50800 49.2003
50900 48.6662
51000 48.8748
51100 49.0905
51200 49.412
51300 50.0121
51400 50.7396
51500 51.1528
51600 50.767
51700 50.5149
51800 50.264
51900 50.4804
52000 50.7072
52100 50.7083
52200 50.8386
52300 50.7506
52400 50.5953
52500 50.6953
52600 50.8479
52700 51.0409
52800 51.1578
52900 51.0865
53000 51.0064
53100 51.3781
53200 51.2031
53300 50.8578
53400 50.9078
53500 50.9291
53600 50.805
53700 50.4103
53800 50.4407
53900 50.5124
54000 50.9474
54100 51.0301
54200 50.7834
54300 50.7286
54400 50.9506
54500 50.957
54600 51.5665
54700 51.7475
54800 52.0334
54900 52.1768
55000 51.6659
55100 51.1502
55200 50.881
55300 50.84
55400 51.1055
55500 50.8786
55600 50.3178
55700 50.5719
55800 50.3663
55900 50.829
56000 50.9779
56100 51.1736
56200 51.5042
56300 51.42
56400 51.5062
56500 51.6501
56600 51.9412
56700 51.935
56800 52.0649
56900 52.0293
57000 51.8997
57100 51.521
57200 51.359
57300 51.3121
57400 51.226
57500 51.0043
57600 50.7917
57700 50.823
57800 51.0864
57900 51.2302
58000 51.3965
58100 51.3007
58200 51.314
58300 51.3515
58400 51.6569
58500 52.1968
58600 52.1757
58700 52.1785
58800 52.2015
58900 51.6419
59000 51.3774
59100 51.1981
59200 51.1653
59300 51.4692
59400 51.8086
59500 52.2062
59600 52.1545
59700 52.3093
59800 52.0973
59900 52.1782
60000 51.8987
