# Time-averaged data for fix solvated_PEG_ave_temp
# TimeStep v_solvated_PEG_temp
49300 300.035
49400 296.348
49500 296.978
49600 300.447
49700 301.306
49800 298.581
49900 298.521
50000 303.402
50100 303.773
50200 301.41
50300 299.692
50400 296.311
50500 300.118
50600 305.216
50700 299.481
50800 294.422
50900 297.502
51000 299.487
51100 300.576
51200 303.983
51300 302.051
51400 294.535
51500 298.225
51600 301.264
51700 300.24
51800 304.195
51900 308.7
52000 301.413
52100 299.061
52200 299.357
52300 296.194
52400 301.348
52500 300.254
52600 301.738
52700 304.66
52800 297.507
52900 299.914
53000 302.471
53100 299.333
53200 294.095
53300 297.148
53400 299.42
53500 302.072
53600 299.96
53700 294.575
53800 298.47
53900 306.462
54000 301.38
54100 298.382
54200 297.888
54300 302.606
54400 301.502
54500 304.601
54600 301.082
54700 296.047
54800 299.837
54900 299.487
55000 299.332
55100 304.52
55200 306.39
55300 301.958
55400 298.16
55500 298.762
55600 302.314
55700 305.846
55800 300.469
55900 295.87
56000 297.056
56100 306.499
56200 300.178
56300 301.767
56400 299.458
56500 300.268
56600 297.387
56700 301.552
56800 301.247
56900 303.828
57000 301.02
57100 305.652
57200 303.552
57300 299.178
57400 298.326
57500 300.98
57600 299.194
57700 291.292
57800 297.464
57900 301.101
58000 300.082
58100 300.565
58200 303.038
58300 299.492
58400 293.84
58500 301.858
58600 303.802
58700 299.699
58800 294.362
58900 295.267
59000 297.561
59100 300.99
59200 301.217
59300 300.904
59400 297.429
59500 298.097
59600 295.84
59700 295.908
59800 304.259
59900 300.797
60000 294.847
