# Time-averaged data for fix H2O_ave_density
# TimeStep v_H2O_density
35700 0.0244947
35800 0.0242178
35900 0.0239454
36000 0.0237954
36100 0.0237704
36200 0.0237821
36300 0.0238226
36400 0.0238895
36500 0.0239289
36600 0.0239187
36700 0.0239038
36800 0.0238547
36900 0.0238023
37000 0.0238422
37100 0.0239183
37200 0.0240599
37300 0.0241921
37400 0.0242888
37500 0.0243622
37600 0.024393
37700 0.0243135
37800 0.0241542
37900 0.0239372
38000 0.0236877
38100 0.0235621
38200 0.0235855
38300 0.0236212
38400 0.0236901
38500 0.0238004
38600 0.0238606
38700 0.0238528
38800 0.0237993
38900 0.0238114
39000 0.0238707
39100 0.023977
39200 0.0241301
39300 0.0243284
39400 0.0246015
39500 0.0248849
39600 0.0250997
39700 0.0251591
39800 0.0250235
39900 0.0247199
40000 0.0243627
40100 0.0240481
40200 0.0237783
40300 0.0235595
40400 0.0233879
40500 0.0233296
40600 0.0233789
40700 0.0234944
40800 0.0236675
40900 0.0238586
41000 0.0240113
41100 0.0240512
41200 0.024025
41300 0.0240734
41400 0.024245
41500 0.0243612
41600 0.0243981
41700 0.0244521
41800 0.024524
41900 0.0244954
42000 0.0244388
42100 0.0245328
42200 0.0247235
42300 0.0248234
42400 0.0249204
42500 0.0250588
42600 0.0252077
42700 0.0253162
42800 0.0252802
42900 0.0251393
43000 0.0250295
43100 0.0249917
43200 0.0249745
43300 0.0248738
43400 0.0247274
43500 0.0245672
43600 0.0244544
43700 0.0244267
43800 0.0244991
43900 0.0246308
44000 0.0247749
44100 0.024871
44200 0.0248215
44300 0.0246384
44400 0.0244728
44500 0.0243717
44600 0.0242803
44700 0.0241992
44800 0.0241409
44900 0.0241563
45000 0.0242582
45100 0.0243468
45200 0.0244516
45300 0.0245241
45400 0.0245846
45500 0.0246253
45600 0.0246614
45700 0.0246777
45800 0.0246236
45900 0.0245778
46000 0.0245621
46100 0.0246844
46200 0.0248944
46300 0.0250571
46400 0.0250854
46500 0.0250208
46600 0.0250213
46700 0.0250448
46800 0.0249927
46900 0.0248888
47000 0.0248584
47100 0.0247659
47200 0.0245433
47300 0.0243337
47400 0.0241616
47500 0.0240234
47600 0.02399
47700 0.0240534
47800 0.0240951
47900 0.0240005
48000 0.0237818
48100 0.0235286
48200 0.0232906
48300 0.0230366
48400 0.0228804
48500 0.0229317
48600 0.0231656
48700 0.0235223
48800 0.0238366
48900 0.0240458
49000 0.0240738
49100 0.0240509
49200 0.0242152
49300 0.0244109
49400 0.0245373
49500 0.0245172
49600 0.0244951
49700 0.0245731
49800 0.0246714
49900 0.0246912
50000 0.0246636
